song_group	added_at	is_local	primary_color	added_by.href	added_by.id	added_by.type	added_by.uri	added_by.external_urls.spotify	track.artists	track.available_markets	track.disc_number	track.duration_ms	track.episode	track.explicit	track.href	track.id	track.is_local	track.name	track.popularity	track.preview_url	track.track	track.track_number	track.type	track.uri	track.album.album_type	track.album.artists	track.album.available_markets	track.album.href	track.album.id	track.album.images	track.album.name	track.album.release_date	track.album.release_date_precision	track.album.total_tracks	track.album.type	track.album.uri	track.album.external_urls.spotify	track.external_ids.isrc	track.external_urls.spotify	video_thumbnail.url	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	type	uri	track_href	analysis_url	duration_ms	time_signature	id	value	year	release_date
popular	2017-06-29T20:13:04Z	NA	NA	NA	NA	NA	NA	NA			NA	NA	NA	NA	NA	0mG66FLhO0iZ6XCAGdjpax	NA	Elvira	61	NA	NA	NA	NA	NA	NA			NA	NA		Fancy Free	1981-01-01	NA	10	NA	NA	NA	NA	NA	NA	0.825	0.285	8	-17.491	1	0.0326	0.188	0.00131	0.053900000000000003	0.86	126.946	audio_features	spotify:track:0mG66FLhO0iZ6XCAGdjpax	https://api.spotify.com/v1/tracks/0mG66FLhO0iZ6XCAGdjpax	https://api.spotify.com/v1/audio-analysis/0mG66FLhO0iZ6XCAGdjpax	225627	4	0mG66FLhO0iZ6XCAGdjpax	NA	1981	1981
popular	2017-06-29T20:13:04Z	NA	NA	NA	NA	NA	NA	NA			NA	NA	NA	NA	NA	5NJcg1bvft5yNwy140v7Dn	NA	Take It On the Run	0	NA	NA	NA	NA	NA	NA			NA	NA		Hi Infidelity	1980-11-21	NA	10	NA	NA	NA	NA	NA	NA	0.352	0.725	7	-6.877	1	0.0371	0.0515	0	0.18	0.431	155.539	audio_features	spotify:track:5NJcg1bvft5yNwy140v7Dn	https://api.spotify.com/v1/tracks/5NJcg1bvft5yNwy140v7Dn	https://api.spotify.com/v1/audio-analysis/5NJcg1bvft5yNwy140v7Dn	239893	4	5NJcg1bvft5yNwy140v7Dn	NA	1981	1980
popular	2017-06-29T20:13:04Z	NA	NA	NA	NA	NA	NA	NA			NA	NA	NA	NA	NA	1LqHxPFZo4ZD5mTIC90A0f	NA	(There's) No Gettin' Over Me	0	NA	NA	NA	NA	NA	NA			NA	NA		16 Biggest Hits	2007-03-27	NA	16	NA	NA	NA	NA	NA	NA	0.604	0.458	1	-10.468	0	0.0327	0.511	3.28e-5	0.243	0.812	200.849	audio_features	spotify:track:1LqHxPFZo4ZD5mTIC90A0f	https://api.spotify.com/v1/tracks/1LqHxPFZo4ZD5mTIC90A0f	https://api.spotify.com/v1/audio-analysis/1LqHxPFZo4ZD5mTIC90A0f	195493	4	1LqHxPFZo4ZD5mTIC90A0f	NA	1981	2007
popular	2017-07-01T16:21:22Z	NA	NA	NA	NA	NA	NA	NA			NA	NA	NA	NA	NA	6IAh4MjV3GRkvIHrCbUFWY	NA	Living Inside Myself	49	NA	NA	NA	NA	NA	NA			NA	NA		Nightwalker	1981-07-01	NA	8	NA	NA	NA	NA	NA	NA	0.409	0.428	11	-13.195	1	0.0412	0.462	8.22e-5	0.0687	0.04	119.941	audio_features	spotify:track:6IAh4MjV3GRkvIHrCbUFWY	https://api.spotify.com/v1/tracks/6IAh4MjV3GRkvIHrCbUFWY	https://api.spotify.com/v1/audio-analysis/6IAh4MjV3GRkvIHrCbUFWY	263227	4	6IAh4MjV3GRkvIHrCbUFWY	NA	1981	1981
popular	2017-06-29T20:13:04Z	NA	NA	NA	NA	NA	NA	NA			NA	NA	NA	NA	NA	2m5xo4HEFHgOQpqqrxCS5u	NA	Woman In Love	49	NA	NA	NA	NA	NA	NA			NA	NA		The Essential Barbra Streisand	2002-01-29	NA	40	NA	NA	NA	NA	NA	NA	0.484	0.469	3	-7.35	0	0.0257	0.489	9.58e-5	0.291	0.307	169.678	audio_features	spotify:track:2m5xo4HEFHgOQpqqrxCS5u	https://api.spotify.com/v1/tracks/2m5xo4HEFHgOQpqqrxCS5u	https://api.spotify.com/v1/audio-analysis/2m5xo4HEFHgOQpqqrxCS5u	231227	4	2m5xo4HEFHgOQpqqrxCS5u	NA	1981	2002
popular	2017-06-29T20:13:04Z	NA	NA	NA	NA	NA	NA	NA			NA	NA	NA	NA	NA	64pQUgnYPq1PzaicU9xaRf	NA	Boy From New York City	0	NA	NA	NA	NA	NA	NA			NA	NA		Rhino Hi-Five: The Manhattan Transfer	2006-10-24	NA	5	NA	NA	NA	NA	NA	NA	0.708	0.504	9	-12.752	1	0.0632	0.291	6.78e-4	0.072	0.652	152.216	audio_features	spotify:track:64pQUgnYPq1PzaicU9xaRf	https://api.spotify.com/v1/tracks/64pQUgnYPq1PzaicU9xaRf	https://api.spotify.com/v1/audio-analysis/64pQUgnYPq1PzaicU9xaRf	221000	4	64pQUgnYPq1PzaicU9xaRf	NA	1981	2006
popular	2017-06-29T20:13:04Z	NA	NA	NA	NA	NA	NA	NA			NA	NA	NA	NA	NA	6WThbierq4pPdRzK6NiefQ	NA	Urgent	32	NA	NA	NA	NA	NA	NA			NA	NA		Urgent / Girl on the Moon	1981	NA	2	NA	NA	NA	NA	NA	NA	0.847	0.802	4	-5.847	0	0.0312	0.316	0.00342	0.0908	0.962	115.039	audio_features	spotify:track:6WThbierq4pPdRzK6NiefQ	https://api.spotify.com/v1/tracks/6WThbierq4pPdRzK6NiefQ	https://api.spotify.com/v1/audio-analysis/6WThbierq4pPdRzK6NiefQ	237875	4	6WThbierq4pPdRzK6NiefQ	NA	1981	1981
popular	2017-06-29T20:13:04Z	NA	NA	NA	NA	NA	NA	NA			NA	NA	NA	NA	NA	2yF4DENCsYzXKOxpppYmmx	NA	Passion - 2008 Remaster	25	NA	NA	NA	NA	NA	NA			NA	NA		The Definitive Rod Stewart	2008-11-17	NA	31	NA	NA	NA	NA	NA	NA	0.69	0.564	9	-10.824	1	0.0363	0.0135	0.00174	0.228	0.0609	103.565	audio_features	spotify:track:2yF4DENCsYzXKOxpppYmmx	https://api.spotify.com/v1/tracks/2yF4DENCsYzXKOxpppYmmx	https://api.spotify.com/v1/audio-analysis/2yF4DENCsYzXKOxpppYmmx	332080	4	2yF4DENCsYzXKOxpppYmmx	NA	1981	2008
popular	2017-06-29T20:13:04Z	NA	NA	NA	NA	NA	NA	NA			NA	NA	NA	NA	NA	6q37AlR5VJdfxB142wztD8	NA	Lady (You Bring Me Up)	0	NA	NA	NA	NA	NA	NA			NA	NA		Motown: The Complete No. 1's	2008-01-01	NA	202	NA	NA	NA	NA	NA	NA	0.826	0.736	0	-5.404	0	0.0333	0.0967	5.2e-5	0.0753	0.791	120.805	audio_features	spotify:track:6q37AlR5VJdfxB142wztD8	https://api.spotify.com/v1/tracks/6q37AlR5VJdfxB142wztD8	https://api.spotify.com/v1/audio-analysis/6q37AlR5VJdfxB142wztD8	241547	4	6q37AlR5VJdfxB142wztD8	NA	1981	2008
popular	2017-06-29T20:13:04Z	NA	NA	NA	NA	NA	NA	NA			NA	NA	NA	NA	NA	3oL9W9aHlMfCyd1dEBh87L	NA	Crying	36	NA	NA	NA	NA	NA	NA			NA	NA		The Best Of Don McLean	1988-01-01	NA	10	NA	NA	NA	NA	NA	NA	0.313	0.398	5	-10.889	0	0.0285	0.596	3.48e-5	0.0519	0.236	145.973	audio_features	spotify:track:3oL9W9aHlMfCyd1dEBh87L	https://api.spotify.com/v1/tracks/3oL9W9aHlMfCyd1dEBh87L	https://api.spotify.com/v1/audio-analysis/3oL9W9aHlMfCyd1dEBh87L	222693	4	3oL9W9aHlMfCyd1dEBh87L	NA	1981	1988
popular	2017-06-29T20:13:04Z	NA	NA	NA	NA	NA	NA	NA			NA	NA	NA	NA	NA	150LOyOS0ISsZ9IcwPf6iT	NA	Hearts	53	NA	NA	NA	NA	NA	NA			NA	NA		Balin	1981-01-01	NA	9	NA	NA	NA	NA	NA	NA	0.719	0.551	0	-9.124	1	0.0324	0.529	9.05e-6	0.139	0.829	123.444	audio_features	spotify:track:150LOyOS0ISsZ9IcwPf6iT	https://api.spotify.com/v1/tracks/150LOyOS0ISsZ9IcwPf6iT	https://api.spotify.com/v1/audio-analysis/150LOyOS0ISsZ9IcwPf6iT	258773	4	150LOyOS0ISsZ9IcwPf6iT	NA	1981	1981
popular	2017-06-29T20:13:04Z	NA	NA	NA	NA	NA	NA	NA			NA	NA	NA	NA	NA	5XmnWof1tWnwtTP2ug1MQk	NA	It's My Turn	11	NA	NA	NA	NA	NA	NA			NA	NA		The Motown Anthology	2001-01-01	NA	38	NA	NA	NA	NA	NA	NA	0.234	0.495	5	-8.029	0	0.0335	0.387	0	0.109	0.34	76.852	audio_features	spotify:track:5XmnWof1tWnwtTP2ug1MQk	https://api.spotify.com/v1/tracks/5XmnWof1tWnwtTP2ug1MQk	https://api.spotify.com/v1/audio-analysis/5XmnWof1tWnwtTP2ug1MQk	238827	4	5XmnWof1tWnwtTP2ug1MQk	NA	1981	2001
popular	2017-06-29T20:13:04Z	NA	NA	NA	NA	NA	NA	NA			NA	NA	NA	NA	NA	7HX9f8AMBl0vQxAoAzLqhS	NA	You Make My Dreams (Come True)	61	NA	NA	NA	NA	NA	NA			NA	NA		The Very Best of Daryl Hall / John Oates	2001-01-23	NA	18	NA	NA	NA	NA	NA	NA	0.749	0.484	5	-9.944	1	0.0484	0.13	0.137	0.0486	0.939	167.084	audio_features	spotify:track:7HX9f8AMBl0vQxAoAzLqhS	https://api.spotify.com/v1/tracks/7HX9f8AMBl0vQxAoAzLqhS	https://api.spotify.com/v1/audio-analysis/7HX9f8AMBl0vQxAoAzLqhS	187600	4	7HX9f8AMBl0vQxAoAzLqhS	NA	1981	2001
popular	2017-06-29T20:13:04Z	NA	NA	NA	NA	NA	NA	NA			NA	NA	NA	NA	NA	6yq2lwMOPYLznyOrJ8JxBc	NA	I Don't Need You - Remastered 2006	0	NA	NA	NA	NA	NA	NA			NA	NA		Number Ones	2006-01-01	NA	16	NA	NA	NA	NA	NA	NA	0.474	0.282	1	-13.653	1	0.0306	0.603	8.78e-6	0.139	0.309	134.952	audio_features	spotify:track:6yq2lwMOPYLznyOrJ8JxBc	https://api.spotify.com/v1/tracks/6yq2lwMOPYLznyOrJ8JxBc	https://api.spotify.com/v1/audio-analysis/6yq2lwMOPYLznyOrJ8JxBc	205822	4	6yq2lwMOPYLznyOrJ8JxBc	NA	1981	2006
popular	2017-06-29T20:13:04Z	NA	NA	NA	NA	NA	NA	NA			NA	NA	NA	NA	NA	0s4ft4UVLWtpdELSCBnYRy	NA	How 'Bout Us	30	NA	NA	NA	NA	NA	NA			NA	NA		'80s Pop Hits	2001-08-08	NA	40	NA	NA	NA	NA	NA	NA	0.513	0.498	1	-11.277	1	0.0486	0.507	2.75e-5	0.0711	0.509	72.435	audio_features	spotify:track:0s4ft4UVLWtpdELSCBnYRy	https://api.spotify.com/v1/tracks/0s4ft4UVLWtpdELSCBnYRy	https://api.spotify.com/v1/audio-analysis/0s4ft4UVLWtpdELSCBnYRy	274600	4	0s4ft4UVLWtpdELSCBnYRy	NA	1981	2001
popular	2017-06-29T20:13:04Z	NA	NA	NA	NA	NA	NA	NA			NA	NA	NA	NA	NA	7nrtHjt4Vk4Z5jMHOwaS8F	NA	Hit Me With Your Best Shot - 1999 Digital Remaster	0	NA	NA	NA	NA	NA	NA			NA	NA		Synchronistic Wanderings	1999-09-23	NA	53	NA	NA	NA	NA	NA	NA	0.715	0.702	4	-6.055	1	0.0296	0.109	7.73e-6	0.255	0.954	127.446	audio_features	spotify:track:7nrtHjt4Vk4Z5jMHOwaS8F	https://api.spotify.com/v1/tracks/7nrtHjt4Vk4Z5jMHOwaS8F	https://api.spotify.com/v1/audio-analysis/7nrtHjt4Vk4Z5jMHOwaS8F	171293	4	7nrtHjt4Vk4Z5jMHOwaS8F	NA	1981	1999
popular	2017-12-26T13:18:00Z	NA	NA	NA	NA	NA	NA	NA			NA	NA	NA	NA	NA	36dH28TepFKh4RelMfRj05	NA	The Break Up Song	57	NA	NA	NA	NA	NA	NA			NA	NA		Greg Kihn Band ""Best Of Beserkley"" '75 - '84	2012-04-03	NA	21	NA	NA	NA	NA	NA	NA	0.673	0.92	0	-2.143	1	0.0294	0.0288	2.47e-6	0.113	0.964	141.553	audio_features	spotify:track:36dH28TepFKh4RelMfRj05	https://api.spotify.com/v1/tracks/36dH28TepFKh4RelMfRj05	https://api.spotify.com/v1/audio-analysis/36dH28TepFKh4RelMfRj05	170987	4	36dH28TepFKh4RelMfRj05	NA	1981	2012
popular	2017-06-29T20:13:04Z	NA	NA	NA	NA	NA	NA	NA			NA	NA	NA	NA	NA	48yJZwYYDZX5GKFND7wDfC	NA	Time	56	NA	NA	NA	NA	NA	NA			NA	NA		The Turn Of A Friendly Card (Expanded Edition)	1980-11-01	NA	17	NA	NA	NA	NA	NA	NA	0.338	0.349	5	-12.7	0	0.0264	0.272	0.0677	0.143	0.109	146.827	audio_features	spotify:track:48yJZwYYDZX5GKFND7wDfC	https://api.spotify.com/v1/tracks/48yJZwYYDZX5GKFND7wDfC	https://api.spotify.com/v1/audio-analysis/48yJZwYYDZX5GKFND7wDfC	314640	4	48yJZwYYDZX5GKFND7wDfC	NA	1981	1980
popular	2017-06-29T20:13:04Z	NA	NA	NA	NA	NA	NA	NA			NA	NA	NA	NA	NA	0cb6dNWQ3hfmZjcmDecCMy	NA	Hungry Heart	0	NA	NA	NA	NA	NA	NA			NA	NA		The River	1980	NA	20	NA	NA	NA	NA	NA	NA	0.636	0.768	8	-12.014	1	0.0268	0.142	0.00938	0.136	0.97	109.83	audio_features	spotify:track:0cb6dNWQ3hfmZjcmDecCMy	https://api.spotify.com/v1/tracks/0cb6dNWQ3hfmZjcmDecCMy	https://api.spotify.com/v1/audio-analysis/0cb6dNWQ3hfmZjcmDecCMy	198107	4	0cb6dNWQ3hfmZjcmDecCMy	NA	1981	1980
