danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	type	id	uri	track_href	analysis_url	duration_ms	time_signature
0.81	0.241	7	-15.624	1	0.175	0.534	0	0.303	0.426	93.034	audio_features	2rbHi1TxSHxCOG5wTI4gBU	spotify:track:2rbHi1TxSHxCOG5wTI4gBU	https://api.spotify.com/v1/tracks/2rbHi1TxSHxCOG5wTI4gBU	https://api.spotify.com/v1/audio-analysis/2rbHi1TxSHxCOG5wTI4gBU	345373	4
0.733	0.657	2	-12.166	1	0.0404	0.00287	1.02e-4	0.0288	0.882	143.945	audio_features	1Fvs1QmPQ4MVp2hZqgn2fq	spotify:track:1Fvs1QmPQ4MVp2hZqgn2fq	https://api.spotify.com/v1/tracks/1Fvs1QmPQ4MVp2hZqgn2fq	https://api.spotify.com/v1/audio-analysis/1Fvs1QmPQ4MVp2hZqgn2fq	235944	4
0.779	0.716	1	-4.824	0	0.0734	0.253	0	0.075	0.652	111.946	audio_features	7l2PE6qEsOGrVQggochcte	spotify:track:7l2PE6qEsOGrVQggochcte	https://api.spotify.com/v1/tracks/7l2PE6qEsOGrVQggochcte	https://api.spotify.com/v1/audio-analysis/7l2PE6qEsOGrVQggochcte	167027	5
0.796	0.52	2	-7.13	1	0.137	0.0534	0.104	0.0874	0.0942	172.081	audio_features	5uT7vdyfdpyC7G4AXyaxdG	spotify:track:5uT7vdyfdpyC7G4AXyaxdG	https://api.spotify.com/v1/tracks/5uT7vdyfdpyC7G4AXyaxdG	https://api.spotify.com/v1/audio-analysis/5uT7vdyfdpyC7G4AXyaxdG	183147	4
0.634	0.347	0	-17.653	1	0.04	0.584	0.264	0.161	0.776	139.904	audio_features	5Hn2x1lHXi4wAecc0C3h5n	spotify:track:5Hn2x1lHXi4wAecc0C3h5n	https://api.spotify.com/v1/tracks/5Hn2x1lHXi4wAecc0C3h5n	https://api.spotify.com/v1/audio-analysis/5Hn2x1lHXi4wAecc0C3h5n	219480	4
0.704	0.713	11	-7.637	1	0.301	0.141	3.59e-5	0.0888	0.648	128.397	audio_features	2z0yWqi7KRFxHmEeftgCDY	spotify:track:2z0yWqi7KRFxHmEeftgCDY	https://api.spotify.com/v1/tracks/2z0yWqi7KRFxHmEeftgCDY	https://api.spotify.com/v1/audio-analysis/2z0yWqi7KRFxHmEeftgCDY	323720	4
0.601	0.67	7	-9.638	1	0.0752	0.233	8.08e-4	0.097	0.63	122.037	audio_features	4nKlauAi5uyAkt8gIcdLAH	spotify:track:4nKlauAi5uyAkt8gIcdLAH	https://api.spotify.com/v1/tracks/4nKlauAi5uyAkt8gIcdLAH	https://api.spotify.com/v1/audio-analysis/4nKlauAi5uyAkt8gIcdLAH	208733	4
0.793	0.563	6	-10.365	1	0.0432	0.182	0	0.464	0.799	122.781	audio_features	5s2zQBspzDdxnSXIuUrBju	spotify:track:5s2zQBspzDdxnSXIuUrBju	https://api.spotify.com/v1/tracks/5s2zQBspzDdxnSXIuUrBju	https://api.spotify.com/v1/audio-analysis/5s2zQBspzDdxnSXIuUrBju	212373	4
0.394	0.826	0	-6.421	1	0.0579	0.0261	2.7e-4	0.524	0.598	158.073	audio_features	0Gg6BjekYnpGTXtrHN0Pmt	spotify:track:0Gg6BjekYnpGTXtrHN0Pmt	https://api.spotify.com/v1/tracks/0Gg6BjekYnpGTXtrHN0Pmt	https://api.spotify.com/v1/audio-analysis/0Gg6BjekYnpGTXtrHN0Pmt	169400	4
0.537	0.586	6	-7.947	0	0.0398	0.0148	0.00522	0.0801	0.482	147.787	audio_features	1hVhzJXqOHPk83LKKbXhTn	spotify:track:1hVhzJXqOHPk83LKKbXhTn	https://api.spotify.com/v1/tracks/1hVhzJXqOHPk83LKKbXhTn	https://api.spotify.com/v1/audio-analysis/1hVhzJXqOHPk83LKKbXhTn	233253	3
